url,salary_from,salary_to,salary_cur,name,ref
http://hh.ru/,,1100.0,бел.руб.,Швея,https://korolev.hh.ru/vacancy/43518060?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,25000.0,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44290383?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,60000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44755050?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,60000.0,70000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44818325?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,40000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44424809?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,35000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44854438?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,45000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44582403?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,50000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44847255?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,40000.0,руб.,Швея-сборщик,https://korolev.hh.ru/vacancy/44615123?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,85000.0,руб.,Швея в швейный цех,https://korolev.hh.ru/vacancy/44840895?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,25000.0,70000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43710279?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,50000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44842754?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,60000.0,руб.,Швея портной,https://korolev.hh.ru/vacancy/44847611?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,45000.0,90000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44451888?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44867887?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,50000.0,руб.,Швея (потайной шов),https://korolev.hh.ru/vacancy/44847236?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,70000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44316354?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,800.0,1200.0,бел.руб.,Швея-портной,https://korolev.hh.ru/vacancy/44641072?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,30000.0,руб.,Швея на производство плетенной мебели,https://korolev.hh.ru/vacancy/44741988?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,70000.0,руб.,Швея-закройщик,https://korolev.hh.ru/vacancy/44847012?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,60000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43977695?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,35000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44855072?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,90000.0,руб.,Швея-Закройщик,https://korolev.hh.ru/vacancy/44497274?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,55000.0,95000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44441854?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,30000.0,руб.,Швея/ученик швеи,https://korolev.hh.ru/vacancy/43641950?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,25000.0,30000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43444167?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,40000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44424809?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,30000.0,руб.,Швея по шторам,https://korolev.hh.ru/vacancy/44507687?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,60000.0,100000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44750911?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,25000.0,35000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44423926?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,55000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44854842?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,80000.0,руб.,Швея на спецодежду,https://korolev.hh.ru/vacancy/44827670?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,70000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44316354?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,800.0,1200.0,бел.руб.,Швея,https://korolev.hh.ru/vacancy/43445050?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,35000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44488165?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,60000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44822803?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея-портной,https://korolev.hh.ru/vacancy/44611401?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,35000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44862435?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,80000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/38921624?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,55000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44688586?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,50000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44292229?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,30000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44178118?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,70000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44159236?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,80000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44347229?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,45000.0,75000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44845524?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,80000.0,руб.,Швея-универсал,https://korolev.hh.ru/vacancy/44660872?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,45000.0,60000.0,руб.,Швея/портной,https://korolev.hh.ru/vacancy/44307433?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,45000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44836588?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,45000.0,руб.,Швея - закройщик женской одежды,https://korolev.hh.ru/vacancy/44433312?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,40000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/42972655?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,25000.0,70000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43710279?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея по ремонту одежды,https://korolev.hh.ru/vacancy/44802851?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,700.0,1000.0,бел.руб.,Швея по пошиву спецодежды,https://korolev.hh.ru/vacancy/41680259?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,50000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43378934?query=%D1%88%D0%B2%D0%B5%D1%8F
